flight, total cost 15 min. delay (€), total cost 30 min. delay (€), total cost 60 min. delay (€)
FT124735,13500,5659500,59605500
FT179183,9000,6802500,68641500
FT111168,20250,950250,34470750
RT109694,3333750,21142500,106872750
XC187761,135750,4263750,62310000
AR41736,19500,4281750,51202500
ED95511,7500,2569500,49556250
KJ115273,3369000,20385000,97630500
RT103404,573750,9467250,71731500
AR17360,8250,3037500,48113250
ED110975,12750,6052500,59634000
FT89555,3076500,17522250,93366750
KJ85795,877500,12282000,83505750
RY146018,8250,3288000,48673500
ED39543,994500,9351750,65553750
ED70014,1500,7397250,74309250
VL107639,4154250,19169250,95487750
AR92652,996750,9251250,68382750
ED200979,1349250,12873000,81344250
VL15260,5250,665250,28482000
RT147650,4978500,22256250,94008750
VL96827,4500,5385750,64605000
ED1316,5250,2539500,42231750
ED145291,491250,8170500,71281500
KJ63631,5250,4468500,45412500
VL87731,6000,12000,1380750
ED142010,8048250,33084750,126983250
ED124354,1480500,12074250,79993500
ED210177,1195500,9310500,64607250
XC162000,1951500,12104250,81360000
FT9442,428250,3476250,57407250
RT138419,1541250,8021250,51720000
ED10621,2280000,16068750,92625750
XC215648,1266000,7869000,58647750
XC92065,4572750,26043000,118950750
RY192520,2250,175500,21500250
ED58646,2075250,15786750,88509000
FT54839,756750,9703500,64885500
XC118988,1156500,9465750,67176000
AR210255,11250,4854750,57915000
RY162257,4500,16500,7094250
AR150944,3815250,20361750,101244000
KJ160734,250500,5180250,63170250
KJ20549,972750,6812250,56874000
AR32649,2147250,12414000,65879250
VL126214,927000,7848000,58517250
ED114161,1270500,12879750,84036750
AR185923,444750,7964250,70480500
AR9106,10500,35250,20951250
AR103296,12000,6706500,67962750
AR194173,8250,1254000,33569250
FT108878,3230250,16245000,81764250
KJ99560,7207500,27463500,110045250
XC198503,416250,5961750,56996250
RY22473,496500,11244750,81546000
XC81356,3000,2432250,44425500
FT10715,727500,7942500,61859250
KJ205003,3113250,14317500,70148250
FT186442,814500,9428250,66489750
RT177667,10500,2271000,38840250
VL65048,23250,61500,16666500
KJ152490,3105750,14098500,65121000
AR172058,11250,2853000,51663750
AR208419,2709000,13334250,76689750
XC193801,8250,471000,33759000
ED105694,3233250,18411000,89431500
ED189047,2250,4500,12686250
FT213566,3000,6000,14007750
FT7783,3000,3927000,55433250
XC159842,3000,7419000,64914750
FT27120,3750,7500,701250
RY6633,24000,3101250,41503500
VL84645,3100500,16026750,80187750
AR89405,4500,4143750,48009000
FT59361,4500,1574250,38772000
VL39537,5445750,21162000,86997750
XC56431,6000,12000,15102000
AR22268,7500,2139000,39356250
VL211035,390750,1866000,25628250
VL156047,1330500,10143000,67548000
VL25398,9000,18000,5838000
RT190438,3000,90000,16692750
RT214302,32250,4757250,46875750
AR62973,2616000,12164250,65587500
FT194959,5030250,27567000,118997250
RY216343,898500,6620250,62423250
RY88279,923250,7767750,61965750
VL96017,2830500,13635000,73094250
XC156199,36750,2384250,45348000
RT83194,21750,4578000,49311750
ED185843,4422750,22207500,101953500
KJ62803,2713500,11218500,56160000
RY36517,22500,1670250,31779000
XC49380,1764000,8287500,57220500
ED120521,1689750,10930500,66714750
RT3340,750,358500,24824250
RT99969,1779000,10056000,60450000
VL14150,2483250,13006500,71925750
XC45825,9000,1725000,31020750
XC81552,2490000,12462000,67036500
ED135682,23250,5979750,58875000
RY5463,2267250,17615250,94669500
XC143977,8250,22500,12731250
XC43839,2119500,9553500,58305750
RT140979,1548750,10605000,68131500
AR112885,2390250,15540750,83907750
ED6146,3750,7500,1447500
VL187446,3750,7500,477000
XC213605,1571250,11769000,73227750
AR196266,243750,5031750,65610750
KJ69810,12750,1757250,39738000
ED111625,5250,10500,11880000
ED28016,7500,41250,5157000
FT94445,646500,7002750,63402000
RT82514,5250,3612000,40266000
XC110907,36000,4683000,50366250
RY191928,27750,3135000,52628250
AR28360,348750,2776500,34522500
RT81706,12750,787500,22783500
RT182988,5793000,26499000,118110750
KJ203096,3000,5083500,56811000
RY173097,18750,8648250,79825500
KJ20200,1171500,15735000,100822500
AR122374,6000,15750,13393500
ED103845,3885750,18396000,96585750
RY22914,1036500,10505250,77213250
RY86513,4136250,22778250,107732250
KJ142476,318000,4536750,60832500
KJ54486,2031750,12694500,80258250
AR201247,20250,5135250,62084250
RT127364,46500,9266250,76202250
XC98893,29250,2168250,41341500
AR182957,3750,28500,31698000
RY181307,4030500,24596250,121474500
AR181267,4499250,23660250,111288750
FT14772,2685000,20593500,111981750
FT191668,1668750,11529750,80908500
RT122537,9000,1487250,39988500
RY180366,600750,11400750,90864750
ED203912,2419500,16209750,89575500
KJ194388,4451250,21981750,102576750
VL159678,6000,20250,13152750
AR145621,28500,5643000,63919500
FT195370,3594000,15864000,80019000
RY38333,18750,4648500,66581250
ED90445,2577750,14586000,83401500
XC86251,750,2574750,43113750
XC120021,2740500,18310500,101606250
XC119668,3519000,20740500,103137000
ED8962,1640250,10539000,67945500
KJ130827,2250,36000,31480500
XC137480,2250,249750,28191750
ED181150,2199000,16296750,92622000
KJ173359,5250,2007000,46976250
RY153583,5250,2811000,49351500
XC3400,15750,1279500,34992000
AR97184,6750,6430500,60083250
FT51996,9000,1095750,30606750
AR30332,3541500,20534250,103563000
RY103044,105000,2580750,37821750
XC184409,3852000,22551750,103220250
AR78620,2987250,22080750,113408250
ED81339,5286750,25248750,114381000
RT60513,8250,16500,10032000
AR214002,1825500,11970000,69077250
ED132221,45000,5950500,69225000
ED124221,253500,8307750,76995750
XC3143,3982500,21962250,111865500
KJ149786,4264500,24468000,118869750
RT5049,2013000,14013000,87194250
KJ76226,26250,4412250,57287250
AR70672,2328750,15420000,90928500
FT11472,3644250,19975500,93633750
KJ26809,30750,7585500,77930250
FT40980,3651750,19137000,93219750
VL151019,3930000,17471250,78753000
KJ210150,479250,5475000,55827750
VL202264,8268000,34093500,128928000
AR76218,680250,8041500,63717000
ED9858,5250,4276500,51729750
KJ145571,2745000,11569500,67373250
RT185153,4500,24750,17213250
ED44887,5250,32250,15876000
XC177458,5250,5109000,63557250
AR114129,477750,7647000,68145000
AR138799,2922000,13682250,76840500
KJ99828,6750,13500,4323750
XC137310,1113750,7233750,58746000
KJ138887,2026500,16572750,92609250
XC183825,3627000,18068250,92848500
AR178148,8250,2673750,48983250
FT133167,16500,4413000,50141250
KJ167176,4618500,23756250,107769000
RT66496,527250,7485750,68460000
VL269,2059500,10923750,61893750
ED155594,2250,4471500,58770000
AR119537,968250,7974000,59814000
AR193741,3750,7500,313500
RT68343,14250,5404500,57638250
VL163258,3750,257250,28929000
FT139419,1977000,14995500,82710750
VL55536,7500,295500,27240750
XC51815,3678000,19381500,97212000
FT46650,1418250,8485500,65874000
FT75751,6000,2973750,53085750
KJ158059,149250,7385250,70385250
RT44753,2643000,16887000,94488750
KJ204731,1156500,10989750,80977500
VL103916,176250,9159000,75108750
ED113099,15000,3784500,54313500
ED218318,2605500,13725000,73850250
RY172600,12750,1568250,44291250
VL23925,49500,5806500,55428750
VL57122,553500,7693500,64608000
RY166894,2250,2357250,47338500
AR177023,3750,2928750,45726750
FT24344,41250,2763000,44068500
RY67252,3375750,17949000,92786250
VL20911,972000,6479250,51802500
VL73714,5250,900000,39764250
RT145784,1529250,9577500,61636500
VL89097,6000,12000,1218000
AR112635,14250,2436000,53376000
AR164478,2484000,12469500,62439750
FT53706,2250,3786000,51699000
RT168467,2339250,14052750,76781250
RY64908,750,4055250,55052250
ED178923,7500,5106750,55493250
KJ135614,27750,6762000,71473500
ED141464,15000,7031250,62412750
RY10306,8250,4851000,68298000
VL205818,2373000,14412750,81921000
KJ144856,9750,2948250,53511000
XC57251,381000,3955500,57310500
XC51791,2250,2907000,46833750
FT82345,3000,9000,24075750
KJ71660,833250,11485500,83260500
XC116619,1521750,11454000,74319750
XC99124,3750,1835250,39156750
KJ116622,6000,1656750,36645000
RY67682,6000,2498250,35683500
RT211178,25500,2349000,37479750
RT42622,1379250,11203500,77767500
RY61197,6750,3290250,43265250
XC175212,2007750,16605000,96699000
FT4376,878250,7567500,63612750
XC64404,750,9000,4344000
RT125084,4820250,24507750,105342000
RT126477,115500,7266750,67540500
RT98839,43500,2344500,37851000
FT201284,282000,2944500,47382000
KJ202827,12750,4071000,53376000
KJ38181,3750,1075500,31394250
KJ72942,2250,1330500,45278250
VL192131,1362750,10547250,63309750
ED135566,2777250,16296750,82596750
RY77777,3000,2423250,41700750
FT33742,6750,815250,34970250
KJ134451,10500,2915250,49644750
XC133827,2029500,12600000,77199000
XC190350,12750,25500,6030750
AR173720,5250,2605500,43690500
RT103012,5250,4258500,56733750
AR172140,2868000,16224750,85213500
FT196873,4281750,21806250,104062500
KJ190712,2538750,14026500,81045750
VL70176,350250,3690750,35887500
XC68339,15750,5580000,62058750
ED30718,592500,5528250,54877500
FT147695,5925750,23061750,91610250
VL88375,8308500,33729000,124957500
RT99213,16500,3805500,51798000
XC89938,9750,31500,2293500
AR112605,743250,8651250,75867750
AR150204,1884750,11067750,69840750
KJ125366,1064250,9002250,61934250
XC203796,1500,3000,13612500
RT6931,2250,309750,18953250
XC41138,11250,5643750,58362750
FT140052,155250,8238000,64559250
FT143492,3750,7500,18265500
KJ62437,3100500,17040000,83847750
RY130271,3750,7500,47250
VL202975,3750,1713000,32355750
RY218102,2458500,13026000,70567500
AR88614,10500,45000,9660000
XC205493,3125250,17585250,88767000
ED97973,6750,2824500,39164250
FT55771,4623750,23728500,103884750
ED84744,9000,32250,11920500
RT202359,22500,964500,20415750
XC45043,464250,6895500,61212000
RT153335,4227750,22331250,96498000
VL151396,42000,4427250,51043500
VL69320,8250,4328250,52644000
AR147716,3717750,17334750,88147500
ED155769,12000,32250,33842250
ED71942,4727250,21296250,93199500
FT36946,2745000,15542250,81055500
RY179929,3750,1322250,29195250
XC52766,2991750,15534750,83910750
AR76516,4500,808500,26412750
VL33176,1251000,10628250,77019750
RY50945,5250,11250,14376750
XC164929,2175750,13701750,76684500
ED9250,884250,6710250,53325000
RT173101,12750,598500,34611750
RT86139,2933250,14848500,80038500
XC74661,858000,11481750,71989500
ED207371,37500,1269000,19164750
ED82626,15750,1923000,48365250
ED83380,6000,3957000,47694750
FT74234,9750,2159250,36012750
RY25686,1500,1732500,31986000
XC196802,3150000,17325750,83366250
RT100886,382500,2571750,41082000
FT125348,2457000,17695500,94709250
XC151770,3143250,19209750,93330750
KJ176758,14250,6237000,62306250
XC106340,2042250,13117500,74543250
RT162279,5250,2544750,37413750
VL113529,1208250,10961250,70076250
AR43239,744750,7284000,54703500
XC90964,396750,4371750,47565750
XC573,2557500,14089500,66474000
VL183379,3012750,16298250,86754750
ED43831,582750,9319500,73926750
KJ58229,839250,7768500,56810250
FT193438,233250,1020750,22455000
AR75286,3750,15000,630750
KJ177489,38250,1497750,26088750
XC217875,2061000,13965750,75218250
AR200546,6000,1513500,29820000
KJ1895,2005500,13752000,78564000
RT82068,420750,9185250,69411000
KJ75182,6750,2289000,34900500
FT58493,1500,10320750,85850250
FT92443,2195250,13354500,78400500
RY215450,2230500,11254500,73427250
ED184037,18000,3111000,54491250
RT91037,30750,4020000,65366250
VL39742,6000,17250,30776250
FT9171,5995500,27687750,119984250
RT2943,16500,4618500,71028000
XC62862,3000,27750,25913250
XC130708,2913000,22581750,119149500
RY191327,6485250,31911750,132727500
KJ109261,18750,4212750,50097750
RT109223,8250,2708250,51161250
XC196151,725250,9067500,75604500
AR21179,25500,4883250,58348500
AR34785,2809500,18328500,100178250
AR55101,1008000,6588000,54897000
ED163256,813000,7807500,63039750
KJ177911,20250,4903500,71173500
RY202584,4500,9000,10360500
XC182745,4500,17250,5824500
RY204042,5250,1090500,29609250
XC98923,1024500,12222750,79045500
KJ83291,1061250,15731250,103545000
KJ187170,240000,6048750,67904250
VL147973,825750,14340000,94836000
XC68868,414750,12881250,90657000
RT31834,311250,3628500,47948250
RY111285,2915250,22639500,113548500
ED88490,8250,6654750,72042750
FT198191,8250,9131250,88629750
FT35849,1002750,10406250,87616500
RT47737,2254500,18945000,100840500
XC181257,8250,3822000,51354750
RT205227,1851000,13162500,81230250
RY44031,1500,1148250,46372500
ED53387,65250,10546500,83507250
VL194764,473250,4860000,50252250
RT203560,4091250,23475750,111927000
KJ65189,18000,6254250,73858500
KJ40461,944250,10375500,79005750
VL133235,480000,6097500,57957750
XC128024,303750,5057250,60747000
RT88449,13500,4605750,59461500
XC167816,3414750,19580250,101773500
RY218513,83250,4853250,62286000
FT193541,171750,10520250,82173000
VL153725,750,3000,14931000
ED163323,2841750,17466750,98612250
KJ112097,3306750,14600250,75927000
AR28169,4235250,22928250,107958000
AR115180,2250,4500,6773250
ED197812,2250,892500,38642250
ED99406,4791000,25206000,118162500
VL119312,2836500,18321750,97637250
AR146073,7500,44250,22782000
RY54386,2382000,14362500,84640500
RY171223,18000,5100000,57944250
RY103751,1475250,10160250,65421750
VL11637,48750,5539500,68844000
FT172932,3955500,23284500,107061750
FT92466,74250,4566750,53000250
RT43543,3681750,21196500,108616500
VL8497,15000,323250,39766500
XC156319,6750,897000,33040500
XC29081,1485000,11352000,79999500
AR28531,750,7500,12362250
FT86204,750,1500,20151000
RT136344,2196750,15372000,89724000
AR136534,39000,3306000,58876500
VL200381,12000,45750,25796250
FT65209,2570250,15197250,84788250
XC217954,1500,887250,33220500
AR65537,426000,5192250,55275750
VL97954,4895250,22625250,99301500
FT107090,705750,6477750,58887750
RY110004,4500,9000,8963250
RY40511,32250,2046000,54344250
XC162864,1757250,15894750,96126750
AR80709,26250,2165250,44912250
FT90925,14250,1114500,37453500
RT16391,6512250,27226500,107637000
XC65024,3325500,19451250,97836000
AR116690,6000,12000,738750
VL55358,1143000,10802250,74692500
RT16657,6750,3994500,53669250
VL147417,6750,597750,40276500
RY77135,2220750,12763500,76286250
ED11624,372000,8987250,74019000
ED193957,4397250,20830500,97699500
FT155415,7500,15000,30000
RY164267,8250,2808750,39975000
RT94736,3823500,18130500,86657250
AR160783,267000,5490000,58491000
AR208081,9000,2260500,44560500
KJ182848,9000,27750,13786500
KJ207941,5931000,26577750,108958500
RY133842,5496750,27492000,116529750
XC117246,4500,128250,30816750
XC12269,3750,4123500,44739750
VL180876,2664000,14373000,89154750
ED202578,2549250,14438250,81001500
RY113887,6750,7056000,64590000
ED29145,1764750,14614500,90962250
ED95663,6000,5484750,59064750
RT184531,9000,225000,32471250
RY42786,7500,144750,17669250
VL100682,3408000,18448500,95136000
VL109172,1644750,11786250,78200250
ED167967,2939250,15018000,77640000
XC191759,11250,1975500,43565250
AR43872,7104000,32559000,126484500
KJ100576,1216500,12141000,75932250
RY64606,3777750,18818250,92654250
VL125350,6000,1300500,36415500
VL156801,1500,6000,30246750
ED44221,924750,8911500,70564500
ED51832,3000,6000,12273750
KJ51258,621000,6180000,60295500
ED47536,3750,7500,970500
XC70845,1278000,11246250,73836000
RT129755,2655750,17739750,94284750
VL210702,2882250,11576250,60565500
ED125121,4725750,22294500,102733500
FT114995,4329750,24505500,110706000
RT207506,6209250,27350250,111882750
XC147430,6750,102000,6009000
KJ144616,113250,5556000,69227250
KJ61738,4286250,24180000,110064750
RY12996,8754750,37815000,139204500
KJ106173,7500,15000,22553250
RT94018,4221000,19996500,95261250
VL200075,2526000,16941750,89801250
FT11249,9000,4830000,54500250
RT174016,19500,59250,19048500
VL206673,8250,16500,27102750
XC125938,2463000,16020750,83823750
AR125923,1408500,9463500,74007750
ED207768,1351500,9208500,63655500
ED33234,1002000,7404750,58548750
VL69173,2250,9750,29253000
AR171591,1445250,7967250,54613500
ED216046,1264500,6174750,56968500
VL16197,3750,5692500,53601000
VL171752,2605500,17826750,95480250
AR104584,6000,2331000,36296250
ED46759,8250,4651500,59373000
KJ202523,6000,1857000,42132000
FT188043,4224750,22195500,105753750
RT206671,892500,5148000,47980500
RT8112,1224000,10746750,74699250
ED67581,1396500,11703000,70989750
FT62881,3756750,18445500,89756250
VL165902,1246500,7698000,54788250
ED85868,16500,259500,27192000
RT207302,3991500,19923750,88712250
VL216593,304500,4025250,41156250
RT158884,2250,2197500,35397000
VL103948,849000,9465750,68888250
FT116455,2510250,12815250,66641250
FT146128,3000,2299500,39955500
AR208078,630750,4990500,40917750
RT188133,3750,15000,3744000
VL184566,201750,4487250,43762500
FT171468,671250,4950750,48246750
RT42258,4500,2025000,38453250
VL44134,1839750,11901000,69683250
KJ171423,11250,1556250,27108000
RT22589,283500,3959250,44853750
VL122578,1329750,7485000,49404000
VL7768,2481750,17940750,92230500
XC147244,3599250,20371500,97927500
AR109538,12000,1636500,36318000
AR187825,1482750,8963250,65352750
AR51822,856500,8004000,59853750
XC143217,779250,9299250,70510500
RY61713,2250,18750,12341250
FT137099,437250,5847000,46971750
RT197192,798750,4421250,40275000
RY105065,4151250,20505750,93835500
RY137851,3000,695250,36505500
AR209030,3750,24750,11681250
RT49821,1806000,11397750,73183500
ED155406,4500,9000,19500
KJ214762,2368500,12789750,66047250
RT167090,1419000,10208250,65397750
RT211832,4500,11250,14821500
RY105580,5250,10500,8736000
XC9485,12000,2888250,42143250
RT188532,1791750,13974000,79569750
XC154101,6000,12000,312750
ED59524,26250,2492250,41268750
FT154833,12750,1955250,33267000
FT23096,713250,6984000,58526250
FT80655,2945250,18369000,95796000
KJ65944,4086750,20529750,93524250
KJ64679,872250,6300750,61875750
RT162734,8250,6308250,59328750
RY135646,8250,2738250,44235000
RY160955,11250,343500,18107250
AR36644,363000,4388250,41943750
RT140388,324000,4295250,48102000
FT182050,4500,9000,15721500
KJ76742,4500,21000,20139000
RY13679,1478250,11877000,79315500
KJ77248,959250,9735750,72984750
AR30253,6000,16500,16974750
ED86789,14250,1227000,28359750
VL150205,9750,26250,18320250
KJ18513,2142000,12273000,64140000
AR126526,1614000,9528750,61166250
RT214049,328500,4290000,42270000
RY197602,53250,6125250,59214750
VL145075,1584750,11054250,70439250
ED137257,1500,8250,3348000
FT69961,3081750,15888750,74961750
RT62032,2389500,12708000,69516000
FT78030,738750,5775750,54994500
KJ169499,1172250,6313500,44442000
VL136412,3686250,16053000,72336000
VL33653,1264500,8949000,67389000
XC10283,15750,4182000,47002500
XC175442,616500,4100250,36798750
FT188202,4968750,21798000,92537250
XC122945,2097750,12971250,73551750
RY112158,4500,65250,4515000
ED159693,4610250,20266500,89520000
FT163407,2955000,16048500,80583750
ED122596,5421750,25783500,109010250
FT39909,6000,12000,5798250
KJ37048,4836000,23785500,99538500
RT162884,10500,1230000,28272000
VL146759,3810750,18319500,83106000
RY78121,6750,3261750,47456250
FT118346,5838000,24477750,101380500
FT58589,15750,4167000,51911250
KJ72587,8250,1255500,29849250
RY42333,1056000,8210250,55503750
AR37611,4039500,20133000,92664000
RT142247,1500,25500,13677750
ED103227,1310250,11814750,72927750
ED212631,1962000,11969250,69864750
RT184423,2927250,14499000,73053750
RY146377,963000,8052750,63040500
AR17114,3468000,15036000,72904500
VL59499,25500,4453500,53986500
AR16655,13500,2303250,37710750
AR3707,3750,4686750,50033250
ED196168,218250,4613250,46648500
FT141589,12000,2434500,39672750
FT47798,5048250,22662000,96104250
RY10671,750,1422750,23577000
XC160026,1615500,14025000,79368750
FT194701,652500,5089500,42665250
RT110293,15750,3231750,58903500
VL35044,6750,2612250,38313750
ED166636,853500,7888500,73326750
KJ208893,4962000,22035000,102132000
RT178888,2229750,14816250,84419250
KJ144168,17250,3184500,44496000
RT117186,6750,2697000,49612500
RT12318,147750,967500,26841750
VL162877,1085250,12973500,92532000
VL63443,3695250,22065750,106936500
XC193882,3750,7500,7902000
FT62324,1012500,6888750,52518000
KJ195521,1254000,11187750,83433000
KJ28459,6558000,29156250,118782000
ED186549,1718250,12981000,84002250
FT164065,4641000,22943250,105661500
ED82720,6000,2523000,46189500
FT30125,8406000,32945250,123987000
RT99031,24750,9228000,86963250
VL183456,1565250,8234250,68724000
XC13429,2296500,16926000,96397500
XC151216,13500,4422000,58488000
ED30438,7500,15000,15410250
KJ11555,7500,3625500,55697250
KJ28537,33000,4241250,60075000
RT126166,4592250,24920250,112563000
RY15555,2668500,18196500,98547000
XC202530,1418250,16196250,99554250
ED178323,8250,4155000,68337000
ED52936,2250,1523250,36779250
AR141048,3880500,23243250,108204000
AR55876,3000,6000,3030750
VL71895,3000,55500,24571500
ED111539,12000,2439750,58835250
FT16338,15000,2596500,57890250
RY201429,3750,525000,35315250
ED179169,3447750,18364500,90731250
RT75254,2781000,18501750,99273000
RY186848,23250,8078250,73518750
VL208055,18000,63750,32567250
FT18370,843000,11139750,86617500
RY157301,7500,1797000,40409250
RY173679,9055500,35871750,136689000
RY90205,8250,22500,9205500
VL48728,8250,5190000,54764250
ED26231,813750,6021750,59450250
FT59611,90750,5578500,62944500
KJ201293,4500,9750,8404500
XC100420,3513750,23046750,114111750
XC138267,4135500,22776750,107257500
ED95957,5713500,27477750,117966750
XC51495,1839000,10929750,63012000
AR143897,9000,3737250,49688250
ED54650,6000,2316750,42718500
FT175472,7073250,30551250,121244250
AR4764,12750,1707000,43025250
RY66627,2113500,12518250,68680500
VL147651,2873250,18543000,95529750
ED1466,3000,4412250,58569000
RY217866,750,8079000,77831250
AR196180,8250,4714500,59232000
ED168618,1500,3000,7682250
XC66782,2655750,15336750,80325000
FT207657,6969750,30996000,124033500
VL178710,752250,6406500,68735250
KJ188033,3000,2376000,45789000
VL59876,3750,2561250,47183250
RY161161,3750,3576750,49293750
AR135933,310500,3418500,52423500
AR176149,1893750,13825500,81671250
FT155176,321000,8400750,69555000
AR92396,3058500,19303500,99909750
ED42101,12000,32250,16711500
ED192823,2401500,13951500,78277500
AR187209,2832000,18835500,93869250
ED163823,1014000,9522000,64074000
FT45380,21750,3896250,59442000
RT183807,2343000,17012250,98114250
AR91273,7500,1491750,41970000
KJ147475,2944500,20265000,101805000
KJ194600,456000,6603750,61387500
RT176537,1310250,9925500,74811000
RY181731,199500,5679000,60154500
RY35305,7211250,28138500,111150750
ED86903,3162000,17174250,86170500
RY21977,2657250,12307500,79345500
VL144163,2250,2452500,36981750
FT194597,12750,4162500,65055000
RT124096,6000,1549500,34431750
AR178455,20250,2265750,37169250
AR51800,2988000,21173250,109444500
AR105632,1525500,11174250,72980250
ED15660,750,755250,20941500
RY173902,750,982500,33219750
ED203693,15750,8579250,78382500
KJ16244,3793500,19737750,95147250
AR93308,1462500,11480250,71055750
RY206803,5015250,23818500,104244000
KJ29675,5757750,22940250,92466750
KJ49383,1500,5250,12772500
VL14615,422250,5579250,48424500
VL35005,3952500,20715750,96129750
ED71315,11250,4218000,53697000
RT96023,3750,7500,8924250
VL96909,3750,3066000,50372250
AR137182,4500,5488500,53543250
FT110370,4787250,19895250,82791750
AR25270,1798500,12639000,81143250
FT22451,182250,8298750,70610250
KJ33848,128250,7322250,68812500
AR171402,6000,3956250,53873250
VL201437,6000,127500,28929000
AR152371,443250,6195750,60997500
FT25840,194250,6378000,59051250
RT17017,138750,5179500,62901750
RT40452,44250,7229250,71467500
FT110452,902250,6652500,67166250
RY141644,750,6750,36720000
RY147357,2986500,16668000,87699750
RY40838,6287250,30240750,119910000
XC95518,1564500,11061750,72588000
FT126492,2094750,10247250,59295750
VL134836,975000,7442250,62738250
AR20230,21750,1471500,38114250
RT195146,198750,3622500,46008000
RY149109,13500,2042250,38816250
VL188129,1917000,15231000,92069250
RY147984,1326000,8880000,59190000
RY192946,10500,3919500,47385000
ED107994,1356750,12092250,73672500
